,video_id,comments
0,uSMO86uTxo8,"['Glad to see you came back Alive, after the last stream 😅', 'Angular is favored by Google when it comes to SEO. Google goes out of its way to index Angular apps. Some of that effort also applies to any client-side rendered site unless they have some weird routing.', 'The peak was covid phenomenon we are never going back there.', '', 'No need for an expensive camera - that is not what makes you the GOAT for leetcode videos and explanations. Seriously looking forward to the discrete math course and your newsletter !!!', 'the newsletter being simple is great', 'Why is BST top down/bottom up view, and left view not on leetcode? only level order? arent they like super common questions? hackerrank has top down i think tho leetcode lacking', 'the discrete math course will be amazing, cannot wait!', ""Hi bro, I am from India having a year gap of 2 years after my Bachelors and I haven't done any significant internship but currently I am working on DSA and Web Dev.\nHow can I land a job with a meaningful salary?"", ""is it enough to do all these problems from your practice website to be prepared for interviews at MAANG? I got a message from a recruiter from Google on linkedin if I want to come to an interview but I don't feel ready..""]"
1,UrcwDOEBzZE,"['I have a second channel where I solve the daily leetcode problems: https://youtube.com/@neetcodeio\n\nI curated a list of the 150 most important coding interview problems: https://neetcode.io/practice', 'I actually find dynamic programming to be easier than greedy algo. If you understand recursion well from DFS, then you can transform a DP problem into a DFS problem with a memo table. \n\nGreedy, on the other hand, has no consistent design patterns and is truly looking a spark on cleverness.', 'You know, not many people reveal their tricks like this. Thanks man!', 'Everything is a graph', 'Just out of pure curiosity, are you Jew Neetcode?', 'Gotta study those DFS and BFS until they become my breakfast meal.', 'The amazon backpack in the background is a nice easter egg', 'I hate my life. By the way heapify runs in o(logn) time otherwise every operation runs in o(n) time.', '3:02 isnt a tree a DAG. why did you mention it to be undirected?', ""Been doing a lot of interviews lately, admittedly not at MAANG companies, but still F500 companies and honestly haven't had a single coding-style interview in the dozen or so I've had in the last 3 months. Still good to keep these skills sharp incase they come up, but starting to seem less common at the senior level.""]"
2,a3Aep-SygUA,"['In 24 hours we learned that Go might not be the best language for leetcode problems... :^)\n\nThis is my second and hopefully last 24 hour leetcode stream\n\n0:00 - Stream starts\n17:50 - Challenge starts\n24:14:15 - Challenge ends\n\n🧑\u200d💼 Connect with me on LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/', 'I just started the video, it’s hurting me to see you migrate from Python 😭😭', 'this can make me learn go faster<<< thanks alot', ""don't watch this video, you will feel lazy :3"", ""21:23:13 ' destroyed in seconds' "", 'Bookmark: 35:00', 'That would be cool if you could add to this channel some videos related to AVL and red-black trees', 'Hello. I really enjoy your content. I purchased NeetCode Lifetime plan but the discord invite link is not working properly. :(', '4:45 , ur goofy asl', 'legend']"
3,e64g-sJAoK0,"['please make videos like this with java', 'i think the biggest problem i have with this is that you are like 2 years into software if you count internships and are giving advice to people like a senior engineer with 10+ years experience. Just because someone gets accepted into google doesnt mean you should just blindly follow them.', '30:50 🤣🤣', 'Dude is a leetcode god', 'You look like an INDIAN. I thought you will look like an British .', 'yes', ""Bro go and sleep don't tire yourself, this series may harm your health. Nothing is more important than your health."", 'what happened with the other live?', 'What happened to the first 18 hours', 'based gopher']"
4,QHXET1G9Y5U,"[""Not trying to bash Amazon or scare people who wanna work there. Just sharing one person's experience.\n\r\nIt's easy to talk about success, but I think you can learn more from failure."", ""I had a very similar experience when I finally got a job as an engineer at Intel. It's very soothing to hear I'm not the only one!!"", 'Bro talks about his life as smoothly as he explains Leetcode problems. Damn', 'Holy shit bro, had no idea you went through this back then. Been watching the LC videos a while.', 'Thanks for sharing! Very inspiring obviously for alot of people!', ""I'm confused why you didn't seek therapy? With the money u were making, u could have easily gotten good therapist"", 'Tf did i just watch', ""I don't think you can rip the bong constantly and do LSD tablets and then give sound advice to people.  Sounds like a dark period full of benders that had nothing to do with the company you worked at.  I hope you find peace."", 'Many months ago, i decided to post on my linkedin (publicly) that i will refuse any interview offer from amazon. I hate the way they do annual performance reviews.', ""Just subscribed to this channel but I've definitely gone through similar experiences at toxic environments like Tesla and dealing with drugs/severe depression as a result. I've thought many times about sharing my experiences but always backed out. Your honesty is very inspiring. More of us need to be real and open about this sort of thing. Thank you""]"
5,JtdB-jiN6O0,"[""What do you guys think? Not bad for a leetcode monkey eh 🐒\n\n\n\nTry it out: https://neetcode.io/problems/dynamicArray\n\nOr view the full list of problems under the 'Basics' tab: https://neetcode.io/practice"", 'Leetcide: -_-', ""This is a super interesting video since I've been looking at the same problems for the past few years."", 'No the Monaco editor syntax highlighting is annoying. I went through the same thing. I switched to CodeMirror because of how complex it was to add your own highlighting config.', 'This is what I wanted to ask  what backend judge0 ( I infact did a poc but was not sure if i should use this), you answered it. This helps.. Thank you very much !', '3:50 This is exactly why I hate web dev😭', 'Hey great content you honestly make me want to leetcode more and I have only been doing side projects and the comment about next js app router hits home I picked it up so fast and it seems easier to me that the page router', '❤', ""Nothing is hard as long as you have time and money to do what you want. Programming is different for everyone and people learn with different pace. You sounded like someone putting above others. Don't be disrespectful cause there are plenty of people copying with imposter syndrome and you are actually making them feel bad. Other than that keep up a good work"", 'YOINK']"
6,l8dpetPPkFQ,"[""This is the problem with Google IMO. They don't even use their own technology (I mean the open source/GCP version of it).\nUnlike Amazon which is literally a customer of AWS. So they don't understand customer pain points."", 'The people that came up with this shit are genius (real computer scientists).\nUs software engineers just copy paste lmao.', 'Sanjay Ghemawat - The OG 🙏', 'Crazy that I was looking up Sergey Brin today and skimming through his paper he wrote introducing Google and in the same day I find this video simply going to your page because I know how influential you are in tech. I forget why I looked up Sergey but I do remember why I looked up your channel because I have to start practicing for tech interviews like yesterday.', 'message broker*. All in all, nice video and cool new info', ""Excellent explanation of Google's internal tools and their corresponding Open source equivalents or Competitors. You are too good at teaching these things...Thanks for posting these and please keep posting such interesting stuff..!!"", ""Funny that this video doesn't mention memegen as the top tool built at Google😂"", 'Accent fix karle', ""4:58 To answer your question about why Google doesn't migrate to the open-source variants of Google-internal tools (e.g., why Google doesn't migrate from Borg to Kubernetes), I believe it's because:\n1. The cost of migration is not worth it — given how much infrastructure and other Google assets (existing SWE knowledge, additional tooling, integrations with other Google-internal tools, etc.) are built on top of the old, Google-internal tool. \n2. Open-source tool roadmaps are steered/influenced by other companies (e.g., Google doesn't have 100% control over what new features Kubernetes will support in the coming years).\nMy guess is that 1 is the main reason — since some Google products DO use open-source tools (i.e., some Google products use Kubernetes).\n(That said, it's hard to make general statements about Google, since Google is so big and each team is actually quite different.)\n\nGreat video, BTW. I learned a ton!"", ""so what's next after quitting google?""]"
7,6pzoo2HXJT8,"[""Btw here's my linkedin: https://www.linkedin.com/in/navdeep-singh-3aaa14161/\n\nI'm not very active on there, but that will change maybe"", 'Just got done watching one of your videos about python, the way you explain and show examples is really helpful, you really have a gift, congrats on your channel getting so popular, I can see why it has!', 'Bravo, theres appears to be alot of ""nothing special"" probably hence the demise of Helpdesk/desktop support and invert of AI...I too have worked with a few smart...', 'Does Youtube make you more money than your Google comp? Or did you decide to settle for lesser comp to do what you love doing?', 'Man, admire you as much, as a mere mortal who needs pushing to work on leetcode :-)', ""Man when you mentioned working with a few people who were just head and shoulders above everyone else... i immediately thought of similar folks who I've had the pleasure of working alongside in the past. And I'm so grateful to have had those opportunities"", 'у тебя вебка не там стоит', ""I envy you. I graduated a couple of years earlier than you, but after covid19, I don't even get interviews from big tech."", 'Thank you sir for your expectational teaching even a person like me was able to become a software engineering because of you. Hope you will succeed in everything you do.', 'Goat talk']"
8,Hp5zAvNQHjE,[]
9,8wysIxzqgPI,"[""Been a long ass time since I uploaded on this channel, I know. Even though I've been uploading on the second channel, I missed you guys over here. 😭\n\nRoadmap: https://neetcode.io/roadmap\nQuiz feature: https://neetcode.io/practice\nSecond channel: https://youtube.com/@neetcodeio"", 'When am I ready to get started on leetcode? Can I start just knowing nothing at all?', 'This video is giving me hope and a strategy, thank you!!', ""I've taken Data Structures and Algorithms I, but now I want to start getting ready for DS&A II. I don't want to forget what I've learned, so I think this is going to be a great way to apply what I was taught. I will be updating in three months to see how my progress is going. Siri is going to remind me every three months from now."", 'I’m using js and Python were should I start ?', 'Best channel ever', 'This video convinced me to start doing Leetcode problems at some point. Thanks', 'I want to become an expert in C++ I refuse to use python to solve leetcode problems, I will use C++', ""i m exactly like you where you was in the part of solving medium question i just can't figure out the trick for the first time, and exactly like you i solve 100 question until this time."", 'You said 50 leetcode problems helped you get an internship at a bank, but how? Once you have developed some mastery of these problems, how do you market such traits to potential employers?']"
10,3A_YMWcx4HI,"[""Am I just coping or do you agree that the hype is a bit overstated?\n\nBtw, I'm not really pro-google on this topic - I spent the last video shitting on their AI strategy -> https://youtu.be/hL0bn_-FKmo"", ""It's silly to think gpt as a a real person ai, it's just a pretty neat and efficient generator of text that's applicable in a general way.  It's useless without a compilation"", '4 GPT is much better and will spit out the correct code in a flash.', 'Quality, vobvise content', 'It cannot solve Leetcode problems. Neither can you\nSo cold😂😂', 'sponsored by google :DDD', ""Maybe not programmers or lawyers or accountants, but it can definitely replace a lot of interns and paralegals and maybe even financial advisors, it's not an expert but it's really good at many things, that said I think GPT-4 is too expensive and slow to be used for most production code right now and hardware has been kind of stagnating these past maybe 10 years so it probably will take a while to happen, still pretty cool tech though."", 'The ""open"" part is your wallet.', 'As a music teacher I searched ‘how to play Chopin’ in ChatGPT. It gave some general instructions (something like keep practicing and learn chromaticism and music theory) but not up to the standard of a good music teacher can do. Then I searched more based on its previous general instructions and then it basically gave me the same advice back. So I think AI is still not able to do very complex tasks in the current state.', 'You brought up a good point about it not being able to do basic arithmetic lol! Language models suck at math, but they happen to be really good at actually coding things up because of the amount of code its been trained on. Some tools being developed out there have GPT use external tools like a calculator to perform actual computations since it has a tendency to hallucinate. Or, if you ask it to write code to do a math problem rather than give you an actual answer, it will suprisingly give you more accurate answers.']"
11,i53Gi_K3o7I,"['Wow! That took so much knowledge to create such simplicity. Thank you.', 'Your awesome thank you!!', ""Hello, it's a very basic topic, I have you got a video with same concept but much moore advanced?"", 'I learned a lot from this video \nthe best thing I learned is : ""don\'t try to understand 20 things at the same time in 10 minutes""   \ngreat video nevertheless', 'CS590 Software Architecture summarized in 10 mins, awesome...this was definitely the most bulky course and you did way better than my professor in explaining', 'Wow! This video is impressively well-crafted, managing to be both concise and thorough simultaneously.', ""yfw when you know almost everything about system design and still don't run billion dollar click farm."", 'Oops I subscribed by mistake 😏😏', '5:27 I see what you did there...\n\n\n\nand I like it!', ""oh my god, i'm halfway through and i just had to stop watching and come here to comments to tell how much i love the video. the way it is structured and how easily and smoothly it takes us from concept to concept, never breaking the flow is just amazing. very well done! thank you SO SO MUCH for putting it out here!""]"
12,hL0bn_-FKmo,"['Correction: Bing will not be using GPT-4, but a different model that is still more advanced than ChatGPT. (I was baited by some fake news)', 'the ending gave an eternal satisfaction', 'My supermarkets are literally 1 cashier and 8 self checkout machines nowadays.', 'Bard is way better and faster, thats why switched from all ChatGPT tools to using Beyond Bard chrome extension.', ""I know this video is from 3 months ago. GPT-4 can now find bugs in your code and hlep you fix them, even in a project with thousands lines of code. Not in a project with hundreds of thousands lines of code yes, but I'm sure they're working on it"", 'the last part hahahahhaa', 'The ending got me...😂😂😂', 'that ending bit 💀', 'last line was most funny🤣🤣 A big life update: I got laid off yesterday yay...', ""Such bollocks I couldn't stop laughing. Bard is fucking useless and will always be a second class GPT because of what ? Because of Google's need for advertising revenue""]"
13,tAuRQs_d9F8,"[""I might've had too much fun with this one, so I hope it's not too vulgar 😅\nAnd let me know if you want more or less of these types of videos!\n\nIf you wanna learn more about Object-Oriented Design, you can checkout my new course at 🚀 https://neetcode.io/ (you also get lifetime access to all current and future courses).\n\nOh, and I made a second YT channel where I've been posting solutions to the daily Leetcode problems:  https://www.youtube.com/@NeetCodeIO"", ""It's amazing. I really liked how easy and fun you taught about complicated concepts. Tbh, I need more explanation to understand some patterns though. I really appreciate it you made this video. Thank you very much!"", 'Can you do one for databases? On a similar format?', 'I think im too early to watch this. Cuz i cant understand sht 😂', 'You’re awesome man', 'I want to buy \nNeetcode premium\nPlease cover more and \nMore interview questions\nFor lld and hld ?', 'what is vegan burger 😳?', 'This video sucks bro honestly... You use Python? Why not explain how the design patterns can be applied as an overall. Your descriptions are horrendous, Your explanation is terrible.. This is TYPICAL developer arrogance. You enjoy showing off but contributing jack. Waste of time.', 'when u said plz subscribe at the end made me subscribe so ty', '2:20 I knew you could use the backslash to extend if statements more than one physical lines but I did not know you could use it in this way too.']"
